Date and Time,input_4,input_3,input_1
2020-04-06 14:00:27+02:00,19.774,12.753,19.112
2020-04-06 14:00:57+02:00,17.197,12.455,18.712
2020-04-06 14:01:27+02:00,16.979,12.115,19.512
2020-04-06 14:01:57+02:00,18.527,12.547,19.312
2020-04-06 14:02:27+02:00,18.278,15.142,18.512
2020-04-06 14:02:57+02:00,16.415,13.37,18.512
2020-04-06 14:03:27+02:00,19.99,15.048,18.912
2020-04-06 14:03:57+02:00,16.171,14.081,19.512
2020-04-06 14:04:27+02:00,19.631,13.154,19.512
2020-04-06 14:04:57+02:00,17.518,14.049,18.912
2020-04-06 14:05:27+02:00,16.698,14.676,18.512
2020-04-06 14:05:57+02:00,19.882,15.01,18.112
2020-04-06 14:06:27+02:00,19.554,15.876,18.112
2020-04-06 14:06:58+02:00,18.064,14.937,17.812
2020-04-06 14:07:29+02:00,18.281,12.536,17.612
2020-04-06 14:07:59+02:00,16.093,12.45,18.012
2020-04-06 14:08:29+02:00,16.223,14.318,17.812
2020-04-06 14:08:59+02:00,19.922,14.893,18.212
2020-04-06 14:09:29+02:00,18.255,12.468,18.412
2020-04-06 14:09:59+02:00,19.281,14.905,17.412
2020-04-06 14:10:29+02:00,19.77,12.835,17.812
2020-04-06 14:10:59+02:00,19.425,14.347,17.612
2020-04-06 14:11:29+02:00,16.299,14.082,17.412
2020-04-06 14:11:59+02:00,19.537,13.883,16.612
2020-04-06 14:12:29+02:00,16.05,12.977,17.012
2020-04-06 14:12:59+02:00,18.503,14.637,15.812
2020-04-06 14:13:29+02:00,16.81,15.545,15.812
2020-04-06 14:13:59+02:00,18.673,15.127,15.012
2020-04-06 14:14:29+02:00,19.829,12.705,14.812
2020-04-06 14:14:59+02:00,16.112,12.676,14.612
2020-04-06 14:15:29+02:00,16.563,12.845,14.812
2020-04-06 14:15:59+02:00,16.591,14.643,14.812
2020-04-06 14:16:29+02:00,16.359,12.174,14.412
2020-04-06 14:16:59+02:00,17.797,13.607,14.612
2020-04-06 14:17:29+02:00,18.42,13.68,14.412
2020-04-06 14:17:59+02:00,19.567,14.793,15.012
2020-04-06 14:18:29+02:00,17.884,12.138,15.412
2020-04-06 14:18:59+02:00,18.599,14.363,15.612
2020-04-06 14:19:29+02:00,16.958,13.468,15.612
2020-04-06 14:19:59+02:00,18.147,12.183,16.412
2020-04-06 14:20:29+02:00,16.932,13.107,16.412
2020-04-06 14:20:59+02:00,19.873,13.239,15.612
2020-04-06 14:21:29+02:00,16.156,15.261,15.212
2020-04-06 14:21:59+02:00,18.707,13.517,15.212
2020-04-06 14:22:30+02:00,18.505,13.601,14.212
2020-04-06 14:23:00+02:00,18.848,12.457,14.412
2020-04-06 14:23:30+02:00,18.424,13.036,13.412
2020-04-06 14:24:00+02:00,16.908,15.752,12.812
2020-04-06 14:24:30+02:00,16.847,14.592,12.212
2020-04-06 14:25:00+02:00,16.742,12.046,11.212
2020-04-06 14:25:30+02:00,16.539,14.512,11.412
2020-04-06 14:26:00+02:00,16.298,12.492,10.412
2020-04-06 14:26:30+02:00,17.099,14.407,11.612
2020-04-06 14:27:00+02:00,18.133,15.3,11.412
2020-04-06 14:27:30+02:00,19.2,12.81,10.412
