Date and Time,input_4,input_3,input_2,input_1
2020-04-08 14:00:12+02:00,17.478,14.345,10.961,13.512
2020-04-08 14:00:42+02:00,18.532,12.483,9.241,13.712
2020-04-08 14:01:12+02:00,17.919,13.433,11.484,13.312
2020-04-08 14:01:42+02:00,17.675,13.447,10.759,13.312
2020-04-08 14:02:12+02:00,18.672,12.971,8.245,13.312
2020-04-08 14:02:42+02:00,17.789,12.618,10.381,13.712
2020-04-08 14:03:12+02:00,16.314,14.757,10.279,14.312
2020-04-08 14:03:42+02:00,19.357,14.191,11.056,13.312
2020-04-08 14:04:12+02:00,16.542,14.263,9.163,13.312
2020-04-08 14:04:42+02:00,16.166,13.382,10.811,13.712
2020-04-08 14:05:12+02:00,16.365,14.959,10.511,13.912
2020-04-08 14:05:42+02:00,17.247,15.954,8.641,14.312
2020-04-08 14:06:12+02:00,16.722,12.932,10.938,15.112
2020-04-08 14:06:43+02:00,17.529,14.628,8.085,14.512
2020-04-08 14:07:13+02:00,17.269,13.618,9.518,14.312
2020-04-08 14:07:43+02:00,19.251,15.968,8.074,14.712
2020-04-08 14:08:13+02:00,17.222,15.421,10.522,13.912
2020-04-08 14:08:43+02:00,17.557,15.377,8.377,14.712
2020-04-08 14:09:13+02:00,19.12,14.998,9.238,14.712
2020-04-08 14:09:43+02:00,16.134,12.979,9.494,14.512
2020-04-08 14:10:13+02:00,19.965,15.56,8.433,14.912
2020-04-08 14:10:43+02:00,17.675,15.831,9.812,15.112
2020-04-08 14:11:13+02:00,16.871,14.297,9.097,15.112
2020-04-08 14:11:43+02:00,17.598,15.437,8.338,15.112
2020-04-08 14:12:13+02:00,16.494,15.269,10.131,14.912
2020-04-08 14:12:43+02:00,18.343,12.515,8.644,15.712
2020-04-08 14:13:13+02:00,17.44,12.66,9.125,16.112
2020-04-08 14:13:43+02:00,18.143,13.948,9.411,15.512
2020-04-08 14:14:13+02:00,17.869,12.243,9.29,16.112
2020-04-08 14:14:43+02:00,18.156,12.825,11.058,15.912
2020-04-08 14:15:13+02:00,19.79,14.24,9.848,16.112
