Date and Time,input_3,input_1
2020-04-10 14:00:17+02:00,13.065,7.912
2020-04-10 14:00:47+02:00,12.79,7.912
2020-04-10 14:01:17+02:00,13.319,8.512
2020-04-10 14:01:47+02:00,13.012,7.712
2020-04-10 14:02:17+02:00,12.146,7.112
2020-04-10 14:02:47+02:00,15.252,6.712
2020-04-10 14:03:17+02:00,15.63,6.512
2020-04-10 14:03:47+02:00,14.708,6.512
2020-04-10 14:04:17+02:00,15.665,6.712
2020-04-10 14:04:47+02:00,15.952,6.712
2020-04-10 14:05:17+02:00,15.962,6.712
2020-04-10 14:05:47+02:00,15.785,7.312
2020-04-10 14:06:17+02:00,12.738,7.112
2020-04-10 14:06:47+02:00,13.239,6.112
2020-04-10 14:07:17+02:00,12.039,5.712
2020-04-10 14:07:47+02:00,15.754,6.312
2020-04-10 14:08:18+02:00,15.002,5.712
2020-04-10 14:08:48+02:00,15.706,4.312
2020-04-10 14:09:18+02:00,12.15,3.912
2020-04-10 14:09:48+02:00,12.198,4.112
2020-04-10 14:10:18+02:00,13.211,4.712
2020-04-10 14:10:48+02:00,13.572,3.912
2020-04-10 14:11:18+02:00,12.777,4.712
2020-04-10 14:11:48+02:00,15.713,4.512
2020-04-10 14:12:18+02:00,12.867,4.312
2020-04-10 14:12:48+02:00,12.851,4.112
2020-04-10 14:13:18+02:00,13.607,4.512
2020-04-10 14:13:48+02:00,13.484,4.512
2020-04-10 14:14:18+02:00,12.893,3.912
2020-04-10 14:14:48+02:00,14.168,3.912
2020-04-10 14:15:18+02:00,15.259,4.112
2020-04-10 14:15:48+02:00,12.794,3.912
2020-04-10 14:16:18+02:00,15.869,3.912
2020-04-10 14:16:48+02:00,15.514,4.712
2020-04-10 14:17:18+02:00,13.102,5.112
2020-04-10 14:17:49+02:00,12.85,5.012
2020-04-10 14:18:19+02:00,14.956,4.612
2020-04-10 14:18:49+02:00,13.195,4.012
2020-04-10 14:19:19+02:00,13.046,4.012
2020-04-10 14:19:49+02:00,12.048,4.212
2020-04-10 14:20:19+02:00,13.535,4.012
2020-04-10 14:20:49+02:00,12.287,4.212
2020-04-10 14:21:19+02:00,15.204,5.212
2020-04-10 14:21:49+02:00,12.49,5.612
2020-04-10 14:22:19+02:00,12.651,5.012
2020-04-10 14:22:50+02:00,15.154,4.212
2020-04-10 14:23:20+02:00,13.097,4.012
2020-04-10 14:23:50+02:00,13.04,4.212
2020-04-10 14:24:20+02:00,14.325,4.412
2020-04-10 14:24:50+02:00,12.595,5.012
2020-04-10 14:25:20+02:00,14.487,7.012
2020-04-10 14:25:50+02:00,12.938,8.012
2020-04-10 14:26:20+02:00,12.178,7.812
2020-04-10 14:26:50+02:00,13.272,7.812
2020-04-10 14:27:20+02:00,14.997,8.012
2020-04-10 14:27:50+02:00,13.39,8.412
2020-04-10 14:28:20+02:00,12.628,7.612
2020-04-10 14:28:50+02:00,15.269,7.812
2020-04-10 14:29:20+02:00,13.273,7.612
2020-04-10 14:29:50+02:00,13.882,7.212
2020-04-10 14:30:20+02:00,12.559,6.412
2020-04-10 14:30:50+02:00,14.133,6.212
2020-04-10 14:31:20+02:00,12.287,6.412
2020-04-10 14:31:50+02:00,15.939,5.212
2020-04-10 14:32:20+02:00,13.857,4.812
2020-04-10 14:32:50+02:00,14.173,4.612
2020-04-10 14:33:20+02:00,12.25,4.212
2020-04-10 14:33:50+02:00,14.867,4.812
2020-04-10 14:34:20+02:00,12.053,5.412
2020-04-10 14:34:50+02:00,14.374,5.212
2020-04-10 14:35:20+02:00,15.142,4.612
2020-04-10 14:35:50+02:00,14.815,4.812
2020-04-10 14:36:20+02:00,14.887,5.012
2020-04-10 14:36:50+02:00,13.883,4.212
2020-04-10 14:37:20+02:00,14.346,4.212
2020-04-10 14:37:51+02:00,13.224,4.812
2020-04-10 14:38:21+02:00,13.029,4.612
2020-04-10 14:38:51+02:00,13.249,5.612
2020-04-10 14:39:21+02:00,13.022,5.612
2020-04-10 14:39:51+02:00,15.559,6.812
2020-04-10 14:40:21+02:00,15.616,5.612
2020-04-10 14:40:51+02:00,12.773,6.212
2020-04-10 14:41:21+02:00,15.765,5.012
2020-04-10 14:41:51+02:00,13.944,4.812
2020-04-10 14:42:21+02:00,15.274,5.212
2020-04-10 14:42:51+02:00,12.436,4.812
2020-04-10 14:43:21+02:00,15.773,4.012
2020-04-10 14:43:51+02:00,13.349,5.012
2020-04-10 14:44:21+02:00,15.476,5.412
2020-04-10 14:44:51+02:00,14.955,5.412
2020-04-10 14:45:21+02:00,14.729,5.412
2020-04-10 14:45:51+02:00,13.157,6.012
2020-04-10 14:46:21+02:00,14.606,5.612
2020-04-10 14:46:51+02:00,14.839,5.612
2020-04-10 14:47:21+02:00,12.371,6.012
2020-04-10 14:47:51+02:00,13.812,6.412
2020-04-10 14:48:21+02:00,15.582,7.412
2020-04-10 14:48:51+02:00,14.766,6.812
2020-04-10 14:49:21+02:00,12.191,6.812
2020-04-10 14:49:51+02:00,13.757,6.812
2020-04-10 14:50:21+02:00,15.531,6.812
2020-04-10 14:50:51+02:00,13.385,6.812
2020-04-10 14:51:21+02:00,15.826,7.012
2020-04-10 14:51:51+02:00,15.148,7.212
2020-04-10 14:52:22+02:00,13.474,6.612
2020-04-10 14:52:52+02:00,13.955,6.812
2020-04-10 14:53:22+02:00,12.642,7.012
2020-04-10 14:53:52+02:00,14.524,6.812
2020-04-10 14:54:22+02:00,13.01,5.812
2020-04-10 14:54:52+02:00,13.245,5.612
2020-04-10 14:55:23+02:00,14.526,5.712
2020-04-10 14:55:53+02:00,12.97,5.512
2020-04-10 14:56:23+02:00,14.911,5.312
2020-04-10 14:56:53+02:00,13.859,4.512
2020-04-10 14:57:23+02:00,14.571,4.312
2020-04-10 14:57:53+02:00,14.444,4.112
2020-04-10 14:58:24+02:00,12.796,4.812
2020-04-10 14:58:54+02:00,14.914,5.212
2020-04-10 14:59:24+02:00,15.635,4.812
2020-04-10 14:59:54+02:00,14.504,5.412
2020-04-10 15:00:24+02:00,15.095,5.812
2020-04-10 15:00:54+02:00,12.702,6.412
2020-04-10 15:01:24+02:00,14.862,7.212
2020-04-10 15:01:54+02:00,15.304,8.012
2020-04-10 15:02:24+02:00,13.851,7.812
2020-04-10 15:02:54+02:00,13.803,8.212
2020-04-10 15:03:24+02:00,14.026,7.412
2020-04-10 15:03:54+02:00,12.737,8.412
2020-04-10 15:04:24+02:00,14.607,8.412
2020-04-10 15:04:54+02:00,15.936,8.212
2020-04-10 15:05:24+02:00,14.936,8.612
2020-04-10 15:05:54+02:00,14.711,7.812
2020-04-10 15:06:24+02:00,15.433,7.012
2020-04-10 15:06:55+02:00,13.384,6.812
2020-04-10 15:07:25+02:00,12.281,7.812
2020-04-10 15:07:55+02:00,12.928,7.212
2020-04-10 15:08:25+02:00,13.666,7.412
2020-04-10 15:08:55+02:00,14.412,6.612
2020-04-10 15:09:25+02:00,15.879,7.412
2020-04-10 15:09:55+02:00,14.561,7.812
2020-04-10 15:10:25+02:00,12.699,8.812
2020-04-10 15:10:55+02:00,15.784,8.812
2020-04-10 15:11:25+02:00,12.121,8.812
2020-04-10 15:11:55+02:00,13.009,9.612
2020-04-10 15:12:25+02:00,13.479,10.412
2020-04-10 15:12:55+02:00,13.545,10.212
2020-04-10 15:13:25+02:00,13.233,11.212
2020-04-10 15:13:55+02:00,14.892,11.012
2020-04-10 15:14:25+02:00,13.283,11.212
2020-04-10 15:14:55+02:00,15.266,12.212
2020-04-10 15:15:25+02:00,15.636,12.612
2020-04-10 15:15:55+02:00,13.717,11.812
2020-04-10 15:16:25+02:00,13.693,11.212
2020-04-10 15:16:55+02:00,15.856,10.812
2020-04-10 15:17:25+02:00,15.23,11.212
2020-04-10 15:17:55+02:00,13.026,11.612
2020-04-10 15:18:25+02:00,12.78,11.412
2020-04-10 15:18:55+02:00,12.209,10.612
2020-04-10 15:19:25+02:00,12.955,9.812
2020-04-10 15:19:55+02:00,13.804,9.012
2020-04-10 15:20:25+02:00,15.398,9.012
2020-04-10 15:20:55+02:00,12.479,9.012
2020-04-10 15:21:25+02:00,13.189,8.812
2020-04-10 15:21:56+02:00,15.349,9.812
2020-04-10 15:22:26+02:00,14.164,9.212
2020-04-10 15:22:56+02:00,13.244,8.212
2020-04-10 15:23:26+02:00,13.295,9.012
2020-04-10 15:23:56+02:00,14.291,7.612
2020-04-10 15:24:26+02:00,14.747,7.812
2020-04-10 15:24:56+02:00,14.847,8.412
2020-04-10 15:25:26+02:00,12.997,8.612
2020-04-10 15:25:56+02:00,14.906,8.612
2020-04-10 15:26:26+02:00,13.718,10.012
2020-04-10 15:26:56+02:00,14.231,10.012
2020-04-10 15:27:26+02:00,15.453,10.812
2020-04-10 15:27:56+02:00,15.646,10.812
2020-04-10 15:28:26+02:00,15.243,10.412
2020-04-10 15:28:56+02:00,15.999,10.612
2020-04-10 15:29:26+02:00,15.565,11.212
2020-04-10 15:29:56+02:00,12.755,11.412
2020-04-10 15:30:26+02:00,15.678,12.012
2020-04-10 15:30:56+02:00,12.635,12.212
2020-04-10 15:31:26+02:00,13.299,11.212
2020-04-10 15:31:56+02:00,12.081,11.412
2020-04-10 15:32:26+02:00,13.8,11.612
2020-04-10 15:32:56+02:00,15.614,11.812
2020-04-10 15:33:26+02:00,14.69,12.412
2020-04-10 15:33:56+02:00,12.889,12.812
2020-04-10 15:34:26+02:00,14.11,12.012
2020-04-10 15:34:56+02:00,13.409,12.012
2020-04-10 15:35:26+02:00,12.517,10.812
2020-04-10 15:35:56+02:00,13.434,11.412
2020-04-10 15:36:27+02:00,14.975,11.012
2020-04-10 15:36:57+02:00,14.757,10.612
2020-04-10 15:37:27+02:00,13.842,10.412
2020-04-10 15:37:57+02:00,12.102,10.812
2020-04-10 15:38:27+02:00,12.208,11.612
