Date and Time,input_3,in_3_calculated
2020-04-10 14:01:17+02:00,13.319,20.0
2020-04-10 14:04:17+02:00,15.665,20.0
2020-04-10 14:07:17+02:00,12.039,28.416
2020-04-10 14:10:18+02:00,13.211,28.294
2020-04-10 14:13:18+02:00,13.607,28.201
2020-04-10 14:16:18+02:00,15.869,28.026
2020-04-10 14:19:19+02:00,13.046,28.618
2020-04-10 14:22:19+02:00,12.651,31.79
2020-04-10 14:25:20+02:00,14.487,28.204
2020-04-10 14:28:20+02:00,12.628,29.164
2020-04-10 14:31:20+02:00,12.287,29.916
2020-04-10 14:34:20+02:00,12.053,30.762
2020-04-10 14:37:20+02:00,14.346,31.557
2020-04-10 14:40:21+02:00,15.616,29.905
2020-04-10 14:43:21+02:00,15.773,28.295
2020-04-10 14:46:21+02:00,14.606,30.396
2020-04-10 14:49:21+02:00,12.191,31.354
2020-04-10 14:52:22+02:00,13.474,28.951
2020-04-10 14:55:23+02:00,14.526,30.381
2020-04-10 14:58:24+02:00,12.796,31.512
2020-04-10 15:01:24+02:00,14.862,30.878
2020-04-10 15:04:24+02:00,14.607,28.571
2020-04-10 15:07:25+02:00,12.281,31.2
2020-04-10 15:10:25+02:00,12.699,30.222
2020-04-10 15:13:25+02:00,13.233,30.189
2020-04-10 15:16:25+02:00,13.693,28.118
2020-04-10 15:19:25+02:00,12.955,30.64
2020-04-10 15:22:26+02:00,14.164,30.846
2020-04-10 15:25:26+02:00,12.997,28.826
2020-04-10 15:28:26+02:00,15.243,23.3341
2020-04-10 15:31:26+02:00,13.299,22.9819
2020-04-10 15:34:26+02:00,14.11,23.2659
2020-04-10 15:37:27+02:00,13.842,23.5284
2020-04-10 15:40:27+02:00,14.002,22.89
2020-04-10 15:43:27+02:00,13.028,23.2094
2020-04-10 15:46:28+02:00,13.441,23.0991
2020-04-10 15:49:28+02:00,14.414,22.6681
2020-04-10 15:52:29+02:00,15.336,23.3653
2020-04-10 15:55:29+02:00,13.451,23.4416
2020-04-10 15:58:29+02:00,12.61,23.3422
2020-04-10 16:01:29+02:00,13.119,23.4675
2020-04-10 16:04:29+02:00,12.517,23.1247
2020-04-10 16:07:31+02:00,12.433,22.605
2020-04-10 16:10:31+02:00,14.174,23.6325
2020-04-10 16:13:31+02:00,12.898,22.7709
2020-04-10 16:16:31+02:00,15.493,23.2647
2020-04-10 16:19:31+02:00,13.979,23.1359
2020-04-10 16:22:32+02:00,15.292,22.6425
2020-04-10 16:25:32+02:00,15.648,22.9212
2020-04-10 16:28:32+02:00,12.892,22.8441
2020-04-10 16:31:32+02:00,15.132,23.1175
2020-04-10 16:34:32+02:00,12.776,22.5756
2020-04-10 16:37:33+02:00,13.232,23.5641
2020-04-10 16:40:33+02:00,15.751,22.8431
2020-04-10 16:43:33+02:00,14.046,22.8103
2020-04-10 16:46:33+02:00,12.272,22.9888
2020-04-10 16:49:33+02:00,14.174,22.7353
2020-04-10 16:52:34+02:00,14.772,22.7381
2020-04-10 16:55:34+02:00,15.838,23.1703
2020-04-10 16:58:34+02:00,14.503,23.3169
2020-04-10 17:01:34+02:00,14.864,23.2703
2020-04-10 17:04:34+02:00,15.161,23.4225
2020-04-10 17:07:35+02:00,12.232,23.0606
2020-04-10 17:10:35+02:00,15.821,23.6262
2020-04-10 17:13:35+02:00,15.845,23.2897
2020-04-10 17:16:36+02:00,15.457,22.5772
2020-04-10 17:19:37+02:00,14.274,22.7603
2020-04-10 17:22:38+02:00,14.442,23.5069
2020-04-10 17:25:38+02:00,13.009,23.1159
2020-04-10 17:28:38+02:00,12.39,23.61
2020-04-10 17:31:38+02:00,12.977,23.6072
2020-04-10 17:34:38+02:00,14.408,22.8681
2020-04-10 17:37:39+02:00,14.322,23.4125
2020-04-10 17:40:39+02:00,12.402,23.5316
2020-04-10 17:43:39+02:00,13.964,23.5812
2020-04-10 17:46:39+02:00,12.143,22.9831
2020-04-10 17:49:39+02:00,13.681,22.7172
2020-04-10 17:52:40+02:00,15.323,23.0819
2020-04-10 17:55:40+02:00,14.62,23.0116
2020-04-10 17:58:40+02:00,15.643,23.525
2020-04-10 18:01:41+02:00,12.141,23.1341
2020-04-10 18:04:42+02:00,14.227,23.4994
2020-04-10 18:07:42+02:00,15.593,23.0625
2020-04-10 18:10:42+02:00,12.672,23.5016
2020-04-10 18:13:42+02:00,13.126,23.5344
2020-04-10 18:16:42+02:00,15.234,23.4228
2020-04-10 18:19:43+02:00,15.993,22.6381
2020-04-10 18:22:43+02:00,14.254,23.2731
2020-04-10 18:25:43+02:00,14.767,23.555
2020-04-10 18:28:43+02:00,14.158,22.9112
2020-04-10 18:31:43+02:00,12.468,23.6591
2020-04-10 18:34:44+02:00,12.228,23.6694
2020-04-10 18:37:44+02:00,13.064,23.6894
2020-04-10 18:40:44+02:00,15.026,23.3194
2020-04-10 18:43:44+02:00,14.854,23.6731
2020-04-10 18:46:44+02:00,14.632,22.725
2020-04-10 18:49:45+02:00,14.412,22.7194
2020-04-10 18:52:45+02:00,12.75,23.5506
2020-04-10 18:55:45+02:00,14.942,23.1547
2020-04-10 18:58:45+02:00,14.894,23.3294
2020-04-10 19:01:46+02:00,15.853,23.0662
2020-04-10 19:04:46+02:00,15.426,23.3941
2020-04-10 19:07:47+02:00,13.073,23.6688
2020-04-10 19:10:47+02:00,14.299,23.6475
2020-04-10 19:13:47+02:00,13.913,22.6688
2020-04-10 19:16:47+02:00,15.113,22.925
2020-04-10 19:19:48+02:00,12.102,22.8713
2020-04-10 19:22:48+02:00,13.192,23.0238
2020-04-10 19:25:49+02:00,14.441,23.5572
2020-04-10 19:28:49+02:00,13.5,22.5181
2020-04-10 19:31:49+02:00,13.277,23.3075
2020-04-10 19:34:50+02:00,15.778,23.7084
2020-04-10 19:37:50+02:00,14.865,22.6541
2020-04-10 19:40:50+02:00,15.747,23.5863
2020-04-10 19:43:50+02:00,14.748,22.9516
2020-04-10 19:46:50+02:00,13.884,23.6953
2020-04-10 19:49:51+02:00,14.139,23.0125
2020-04-10 19:52:51+02:00,14.877,23.5719
2020-04-10 19:55:51+02:00,13.247,22.7009
2020-04-10 19:58:51+02:00,12.282,22.8997
2020-04-10 20:01:51+02:00,15.666,23.1791
2020-04-10 20:04:52+02:00,15.097,23.5784
2020-04-10 20:07:52+02:00,13.561,22.7097
2020-04-10 20:10:52+02:00,13.474,23.0366
2020-04-10 20:13:52+02:00,12.636,22.5359
2020-04-10 20:16:52+02:00,13.12,22.6763
2020-04-10 20:19:54+02:00,15.818,23.3213
2020-04-10 20:22:54+02:00,14.562,23.0634
2020-04-10 20:25:54+02:00,15.562,23.1588
2020-04-10 20:28:54+02:00,15.336,23.0944
2020-04-10 20:31:54+02:00,13.601,22.9487
2020-04-10 20:34:55+02:00,15.836,22.545
2020-04-10 20:37:55+02:00,15.673,23.5175
2020-04-10 20:40:55+02:00,15.759,23.2172
2020-04-10 20:43:55+02:00,12.866,22.5025
2020-04-10 20:46:55+02:00,14.092,22.9719
2020-04-10 20:49:56+02:00,14.43,23.0256
2020-04-10 20:52:56+02:00,13.825,23.0472
2020-04-10 20:55:56+02:00,14.511,22.6406
2020-04-10 20:58:56+02:00,12.035,22.6734
2020-04-10 21:01:56+02:00,14.438,22.6591
2020-04-10 21:04:57+02:00,12.555,23.5809
2020-04-10 21:07:57+02:00,13.67,23.675
2020-04-10 21:10:57+02:00,13.2,22.5666
2020-04-10 21:13:57+02:00,15.575,23.0209
2020-04-10 21:16:57+02:00,12.193,22.9831
2020-04-10 21:19:58+02:00,14.331,23.5322
2020-04-10 21:22:58+02:00,15.94,23.5244
2020-04-10 21:25:58+02:00,13.482,22.5631
2020-04-10 21:28:58+02:00,14.218,23.2934
2020-04-10 21:31:59+02:00,14.368,23.7325
2020-04-10 21:34:59+02:00,15.734,23.5925
2020-04-10 21:37:59+02:00,15.583,23.6134
2020-04-10 21:40:59+02:00,13.352,22.6678
2020-04-10 21:44:00+02:00,14.019,23.7406
2020-04-10 21:47:01+02:00,14.024,23.2319
2020-04-10 21:50:01+02:00,12.154,23.5072
2020-04-10 21:53:01+02:00,13.781,22.6372
2020-04-10 21:56:02+02:00,14.779,22.9872
2020-04-10 21:59:02+02:00,13.987,23.3194
2020-04-10 22:02:03+02:00,14.427,23.0684
2020-04-10 22:05:03+02:00,13.943,22.9869
2020-04-10 22:08:03+02:00,15.235,23.3956
2020-04-10 22:11:03+02:00,13.795,23.0516
2020-04-10 22:14:03+02:00,14.82,23.4444
2020-04-10 22:17:03+02:00,14.937,23.6469
2020-04-10 22:20:04+02:00,14.676,22.7938
2020-04-10 22:23:04+02:00,14.601,22.9794
2020-04-10 22:26:04+02:00,12.652,22.6197
2020-04-10 22:29:04+02:00,14.063,23.2556
2020-04-10 22:32:04+02:00,13.847,22.5047
2020-04-10 22:35:05+02:00,12.642,23.2197
2020-04-10 22:38:05+02:00,14.802,23.7412
2020-04-10 22:41:05+02:00,12.114,23.2475
2020-04-10 22:44:05+02:00,12.527,23.0519
2020-04-10 22:47:05+02:00,13.038,22.7634
2020-04-10 22:50:05+02:00,13.827,22.6397
2020-04-10 22:53:06+02:00,13.29,23.1522
