Date and Time,input_4,input_3,input_2,input_1
2020-04-10 14:01:17+02:00,17.516,13.319,10.122,8.512
2020-04-10 14:04:17+02:00,18.302,15.665,8.299,6.712
2020-04-10 14:07:17+02:00,17.433,12.039,9.45,5.712
2020-04-10 14:10:18+02:00,19.409,13.211,8.965,4.712
2020-04-10 14:13:18+02:00,19.393,13.607,11.033,4.512
2020-04-10 14:16:18+02:00,18.448,15.869,8.349,3.912
2020-04-10 14:19:19+02:00,16.276,13.046,9.866,4.012
2020-04-10 14:22:19+02:00,16.041,12.651,10.121,5.012
2020-04-10 14:25:20+02:00,17.816,14.487,10.076,7.012
2020-04-10 14:28:20+02:00,19.835,12.628,8.16,7.612
2020-04-10 14:31:20+02:00,16.775,12.287,11.58,6.412
2020-04-10 14:34:20+02:00,17.001,12.053,10.217,5.412
2020-04-10 14:37:20+02:00,18.825,14.346,9.49,4.212
2020-04-10 14:40:21+02:00,17.387,15.616,9.18,5.612
2020-04-10 14:43:21+02:00,16.22,15.773,8.797,4.012
2020-04-10 14:46:21+02:00,18.807,14.606,8.349,5.612
2020-04-10 14:49:21+02:00,18.515,12.191,9.49,6.812
2020-04-10 14:52:22+02:00,17.46,13.474,11.032,6.612
2020-04-10 14:55:23+02:00,19.398,14.526,8.632,5.712
2020-04-10 14:58:24+02:00,19.803,12.796,11.406,4.812
2020-04-10 15:01:24+02:00,18.937,14.862,9.654,7.212
2020-04-10 15:04:24+02:00,16.847,14.607,11.959,8.412
2020-04-10 15:07:25+02:00,18.894,12.281,8.412,7.812
2020-04-10 15:10:25+02:00,18.489,12.699,11.024,8.812
2020-04-10 15:13:25+02:00,19.951,13.233,8.601,11.212
2020-04-10 15:16:25+02:00,17.269,13.693,11.097,11.212
2020-04-10 15:19:25+02:00,18.851,12.955,9.776,9.812
2020-04-10 15:22:26+02:00,16.002,14.164,8.224,9.212
2020-04-10 15:25:26+02:00,16.823,12.997,8.687,8.612
2020-04-10 15:28:26+02:00,16.598,15.243,8.837,10.412
2020-04-10 15:31:26+02:00,16.495,13.299,11.608,11.212
2020-04-10 15:34:26+02:00,19.889,14.11,9.267,12.012
2020-04-10 15:37:27+02:00,18.707,13.842,10.94,10.412
2020-04-10 15:40:27+02:00,19.726,14.002,9.573,11.612
2020-04-10 15:43:27+02:00,16.789,13.028,10.437,11.812
2020-04-10 15:46:28+02:00,16.215,13.441,9.253,11.312
2020-04-10 15:49:28+02:00,18.431,14.414,10.971,10.512
2020-04-10 15:52:29+02:00,19.205,15.336,11.893,9.512
2020-04-10 15:55:29+02:00,16.843,13.451,10.375,10.912
2020-04-10 15:58:29+02:00,19.38,12.61,11.138,12.912
2020-04-10 16:01:29+02:00,16.169,13.119,11.091,12.312
2020-04-10 16:04:29+02:00,17.191,12.517,10.016,14.112
2020-04-10 16:07:31+02:00,18.933,12.433,11.445,13.212
2020-04-10 16:10:31+02:00,18.178,14.174,10.322,13.812
2020-04-10 16:13:31+02:00,19.032,12.898,11.368,16.612
2020-04-10 16:16:31+02:00,18.048,15.493,11.795,15.412
2020-04-10 16:19:31+02:00,17.979,13.979,8.271,14.612
2020-04-10 16:22:32+02:00,19.981,15.292,8.004,14.212
2020-04-10 16:25:32+02:00,16.004,15.648,11.993,14.412
2020-04-10 16:28:32+02:00,17.883,12.892,10.605,13.212
2020-04-10 16:31:32+02:00,16.186,15.132,11.612,10.612
2020-04-10 16:34:32+02:00,17.152,12.776,11.296,12.012
2020-04-10 16:37:33+02:00,19.531,13.232,8.093,11.212
2020-04-10 16:40:33+02:00,19.212,15.751,9.562,11.412
2020-04-10 16:43:33+02:00,19.035,14.046,9.044,10.612
2020-04-10 16:46:33+02:00,17.441,12.272,9.04,7.812
2020-04-10 16:49:33+02:00,19.78,14.174,9.711,9.812
2020-04-10 16:52:34+02:00,16.505,14.772,8.582,10.812
2020-04-10 16:55:34+02:00,19.238,15.838,11.88,12.412
2020-04-10 16:58:34+02:00,17.152,14.503,9.083,12.212
2020-04-10 17:01:34+02:00,18.918,14.864,10.356,12.212
2020-04-10 17:04:34+02:00,16.494,15.161,9.159,11.812
2020-04-10 17:07:35+02:00,16.612,12.232,10.011,13.812
2020-04-10 17:10:35+02:00,16.922,15.821,9.265,14.012
2020-04-10 17:13:35+02:00,16.284,15.845,9.036,16.412
2020-04-10 17:16:36+02:00,19.574,15.457,10.682,14.712
2020-04-10 17:19:37+02:00,16.52,14.274,9.226,11.612
2020-04-10 17:22:38+02:00,16.501,14.442,11.555,11.612
2020-04-10 17:25:38+02:00,17.894,13.009,10.053,10.612
2020-04-10 17:28:38+02:00,18.852,12.39,11.388,11.012
2020-04-10 17:31:38+02:00,16.477,12.977,9.945,10.612
2020-04-10 17:34:38+02:00,17.543,14.408,10.291,11.612
2020-04-10 17:37:39+02:00,18.45,14.322,9.087,10.612
2020-04-10 17:40:39+02:00,18.595,12.402,8.087,9.012
2020-04-10 17:43:39+02:00,19.08,13.964,11.834,10.812
2020-04-10 17:46:39+02:00,17.914,12.143,10.85,10.612
2020-04-10 17:49:39+02:00,17.804,13.681,9.588,9.012
2020-04-10 17:52:40+02:00,17.559,15.323,10.7,8.612
2020-04-10 17:55:40+02:00,16.19,14.62,9.286,8.412
2020-04-10 17:58:40+02:00,19.094,15.643,10.696,8.412
2020-04-10 18:01:41+02:00,19.802,12.141,8.563,7.312
2020-04-10 18:04:42+02:00,16.697,14.227,11.306,7.112
2020-04-10 18:07:42+02:00,17.028,15.593,8.26,6.112
2020-04-10 18:10:42+02:00,17.676,12.672,9.777,5.112
2020-04-10 18:13:42+02:00,16.748,13.126,10.104,5.712
2020-04-10 18:16:42+02:00,17.871,15.234,11.206,5.912
2020-04-10 18:19:43+02:00,19.925,15.993,11.511,5.312
2020-04-10 18:22:43+02:00,17.13,14.254,11.861,4.112
2020-04-10 18:25:43+02:00,19.127,14.767,8.761,4.112
2020-04-10 18:28:43+02:00,19.861,14.158,10.786,4.712
2020-04-10 18:31:43+02:00,16.856,12.468,9.241,5.112
2020-04-10 18:34:44+02:00,16.314,12.228,9.89,4.712
2020-04-10 18:37:44+02:00,17.926,13.064,9.98,4.312
2020-04-10 18:40:44+02:00,16.314,15.026,11.031,4.912
2020-04-10 18:43:44+02:00,19.864,14.854,8.131,3.912
2020-04-10 18:46:44+02:00,18.062,14.632,10.386,4.512
2020-04-10 18:49:45+02:00,18.572,14.412,9.587,6.912
2020-04-10 18:52:45+02:00,16.65,12.75,10.619,5.912
2020-04-10 18:55:45+02:00,18.772,14.942,10.817,6.712
2020-04-10 18:58:45+02:00,19.516,14.894,8.942,6.112
2020-04-10 19:01:46+02:00,19.443,15.853,9.472,5.812
2020-04-10 19:04:46+02:00,19.773,15.426,10.495,4.212
2020-04-10 19:07:47+02:00,18.137,13.073,9.97,5.012
2020-04-10 19:10:47+02:00,16.378,14.299,9.419,5.612
2020-04-10 19:13:47+02:00,17.091,13.913,10.499,7.812
2020-04-10 19:16:47+02:00,19.68,15.113,9.718,6.212
2020-04-10 19:19:48+02:00,19.407,12.102,9.985,5.612
2020-04-10 19:22:48+02:00,16.932,13.192,8.957,5.612
2020-04-10 19:25:49+02:00,18.293,14.441,10.94,4.112
2020-04-10 19:28:49+02:00,19.687,13.5,11.785,4.312
2020-04-10 19:31:49+02:00,18.45,13.277,8.16,4.912
2020-04-10 19:34:50+02:00,17.646,15.778,10.074,4.312
2020-04-10 19:37:50+02:00,17.258,14.865,9.849,5.712
2020-04-10 19:40:50+02:00,19.409,15.747,9.896,6.912
2020-04-10 19:43:50+02:00,19.916,14.748,9.486,7.712
2020-04-10 19:46:50+02:00,16.46,13.884,8.243,7.512
2020-04-10 19:49:51+02:00,16.476,14.139,11.171,8.312
2020-04-10 19:52:51+02:00,19.698,14.877,12.0,8.712
2020-04-10 19:55:51+02:00,17.176,13.247,8.433,8.912
2020-04-10 19:58:51+02:00,16.135,12.282,9.773,10.512
2020-04-10 20:01:51+02:00,19.908,15.666,10.19,6.912
2020-04-10 20:04:52+02:00,19.219,15.097,9.243,8.112
2020-04-10 20:07:52+02:00,18.806,13.561,8.113,7.712
2020-04-10 20:10:52+02:00,18.159,13.474,10.278,9.112
2020-04-10 20:13:52+02:00,17.732,12.636,8.055,9.712
2020-04-10 20:16:52+02:00,17.329,13.12,10.52,9.312
2020-04-10 20:19:54+02:00,19.181,15.818,11.171,11.212
2020-04-10 20:22:54+02:00,16.113,14.562,10.846,11.812
2020-04-10 20:25:54+02:00,17.399,15.562,11.117,11.212
2020-04-10 20:28:54+02:00,19.645,15.336,10.684,11.412
2020-04-10 20:31:54+02:00,19.781,13.601,11.35,11.212
2020-04-10 20:34:55+02:00,19.098,15.836,8.896,13.612
2020-04-10 20:37:55+02:00,17.551,15.673,11.151,13.412
2020-04-10 20:40:55+02:00,19.878,15.759,11.089,12.012
2020-04-10 20:43:55+02:00,19.592,12.866,10.54,11.012
2020-04-10 20:46:55+02:00,17.332,14.092,11.555,12.412
2020-04-10 20:49:56+02:00,16.711,14.43,11.236,13.012
2020-04-10 20:52:56+02:00,19.189,13.825,9.68,10.412
2020-04-10 20:55:56+02:00,16.535,14.511,11.84,10.812
2020-04-10 20:58:56+02:00,19.445,12.035,11.623,15.212
2020-04-10 21:01:56+02:00,18.17,14.438,8.923,13.812
2020-04-10 21:04:57+02:00,19.829,12.555,8.065,13.412
2020-04-10 21:07:57+02:00,17.548,13.67,10.193,14.812
2020-04-10 21:10:57+02:00,16.949,13.2,10.893,15.212
2020-04-10 21:13:57+02:00,16.117,15.575,10.878,13.612
2020-04-10 21:16:57+02:00,19.687,12.193,10.747,15.412
2020-04-10 21:19:58+02:00,17.293,14.331,11.954,15.212
2020-04-10 21:22:58+02:00,18.594,15.94,10.769,15.812
2020-04-10 21:25:58+02:00,17.374,13.482,8.197,14.212
2020-04-10 21:28:58+02:00,19.345,14.218,10.985,12.612
2020-04-10 21:31:59+02:00,18.604,14.368,10.087,14.612
2020-04-10 21:34:59+02:00,19.456,15.734,11.267,13.812
2020-04-10 21:37:59+02:00,16.516,15.583,11.243,14.212
2020-04-10 21:40:59+02:00,19.324,13.352,10.664,15.812
2020-04-10 21:44:00+02:00,19.052,14.019,8.52,15.112
2020-04-10 21:47:01+02:00,19.185,14.024,10.505,14.512
2020-04-10 21:50:01+02:00,18.683,12.154,10.426,13.712
2020-04-10 21:53:01+02:00,16.698,13.781,10.048,14.712
2020-04-10 21:56:02+02:00,19.712,14.779,9.483,13.212
2020-04-10 21:59:02+02:00,18.863,13.987,8.737,13.412
2020-04-10 22:02:03+02:00,16.619,14.427,8.13,13.012
2020-04-10 22:05:03+02:00,17.487,13.943,8.716,13.612
2020-04-10 22:08:03+02:00,19.844,15.235,9.35,12.212
2020-04-10 22:11:03+02:00,17.361,13.795,8.918,13.412
2020-04-10 22:14:03+02:00,19.221,14.82,9.958,13.412
2020-04-10 22:17:03+02:00,19.105,14.937,11.251,11.412
2020-04-10 22:20:04+02:00,18.012,14.676,9.46,12.612
2020-04-10 22:23:04+02:00,17.966,14.601,10.027,13.212
2020-04-10 22:26:04+02:00,19.774,12.652,10.754,13.612
2020-04-10 22:29:04+02:00,16.393,14.063,11.631,11.212
2020-04-10 22:32:04+02:00,17.098,13.847,8.052,11.212
2020-04-10 22:35:05+02:00,16.107,12.642,8.76,11.212
2020-04-10 22:38:05+02:00,17.719,14.802,9.603,11.212
2020-04-10 22:41:05+02:00,17.717,12.114,9.092,12.412
2020-04-10 22:44:05+02:00,17.062,12.527,8.131,12.812
2020-04-10 22:47:05+02:00,16.472,13.038,10.261,10.812
2020-04-10 22:50:05+02:00,18.785,13.827,9.066,7.812
2020-04-10 22:53:06+02:00,16.819,13.29,8.844,8.412
2020-04-10 22:56:06+02:00,18.031,13.272,10.249,7.412
2020-04-10 22:59:06+02:00,16.074,15.643,9.062,8.812
2020-04-10 23:02:06+02:00,19.995,15.078,9.297,8.012
2020-04-10 23:05:06+02:00,16.818,14.051,11.686,8.012
2020-04-10 23:08:07+02:00,18.63,14.323,8.1,10.212
2020-04-10 23:11:07+02:00,17.538,15.749,10.342,11.812
2020-04-10 23:14:07+02:00,19.268,15.359,11.105,12.412
2020-04-10 23:17:07+02:00,17.193,15.275,10.155,10.612
2020-04-10 23:20:07+02:00,19.897,12.866,9.333,10.412
2020-04-10 23:23:08+02:00,17.458,15.629,9.348,13.012
2020-04-10 23:26:08+02:00,18.271,12.493,11.059,9.612
2020-04-10 23:29:08+02:00,18.836,13.534,10.049,9.212
2020-04-10 23:32:08+02:00,19.464,15.812,10.177,10.212
2020-04-10 23:35:08+02:00,18.799,13.532,9.928,11.212
2020-04-10 23:38:09+02:00,18.932,15.746,9.323,11.212
2020-04-10 23:41:09+02:00,19.634,12.811,10.273,8.812
2020-04-10 23:44:09+02:00,18.215,12.735,11.723,7.012
2020-04-10 23:47:09+02:00,19.574,14.973,11.289,9.012
2020-04-10 23:50:09+02:00,16.088,12.123,9.721,11.612
2020-04-10 23:53:10+02:00,17.661,12.309,8.626,12.412
2020-04-10 23:56:10+02:00,19.54,14.968,8.268,11.612
2020-04-10 23:59:10+02:00,18.608,12.234,9.731,11.812
2020-04-11 00:02:10+02:00,18.991,12.313,11.857,11.812
2020-04-11 00:05:10+02:00,17.503,12.824,8.877,13.612
2020-04-11 00:08:11+02:00,17.16,15.376,10.302,14.212
2020-04-11 00:11:11+02:00,16.821,12.043,10.134,13.012
2020-04-11 00:14:11+02:00,17.434,12.891,10.919,12.612
2020-04-11 00:17:11+02:00,19.324,14.122,9.481,14.612
2020-04-11 00:20:11+02:00,17.567,14.884,11.484,16.012
2020-04-11 00:23:12+02:00,17.066,12.265,10.235,16.212
2020-04-11 00:26:12+02:00,17.169,15.85,11.836,17.812
2020-04-11 00:29:13+02:00,18.29,14.206,11.072,18.912
2020-04-11 00:32:14+02:00,17.833,13.743,11.393,19.212
2020-04-11 00:35:15+02:00,19.672,13.925,9.218,19.812
2020-04-11 00:38:15+02:00,19.051,14.035,9.871,19.212
2020-04-11 00:41:15+02:00,18.013,15.464,9.666,18.012
2020-04-11 00:44:15+02:00,17.042,15.944,11.422,17.812
2020-04-11 00:47:15+02:00,17.072,13.234,9.28,17.612
2020-04-11 00:50:16+02:00,18.394,13.466,10.019,16.812
2020-04-11 00:53:16+02:00,19.258,13.447,8.985,17.412
2020-04-11 00:56:16+02:00,17.5,14.445,11.988,15.612
2020-04-11 00:59:16+02:00,16.462,13.533,10.288,14.812
2020-04-11 01:02:16+02:00,17.251,12.084,8.358,15.012
2020-04-11 01:05:17+02:00,19.007,15.072,10.526,17.212
2020-04-11 01:08:17+02:00,17.315,12.907,11.167,17.612
2020-04-11 01:11:17+02:00,18.456,14.484,11.093,17.612
2020-04-11 01:14:17+02:00,16.598,12.742,10.292,17.412
2020-04-11 01:17:17+02:00,19.172,14.544,9.805,18.412
2020-04-11 01:20:18+02:00,16.302,15.869,10.961,17.212
2020-04-11 01:23:18+02:00,19.0,15.602,8.664,19.012
2020-04-11 01:26:18+02:00,19.717,12.319,11.597,18.412
2020-04-11 01:29:18+02:00,19.267,12.438,10.86,16.212
2020-04-11 01:32:18+02:00,18.142,15.154,10.96,17.212
2020-04-11 01:35:19+02:00,19.2,15.52,8.846,16.212
2020-04-11 01:38:19+02:00,19.414,14.084,10.831,16.612
2020-04-11 01:41:19+02:00,16.967,12.856,10.382,17.812
2020-04-11 01:44:19+02:00,16.429,12.892,11.953,16.612
2020-04-11 01:47:19+02:00,19.952,15.064,11.489,17.412
2020-04-11 01:50:20+02:00,19.338,13.993,8.948,17.212
2020-04-11 01:53:20+02:00,17.634,12.924,11.19,17.812
2020-04-11 01:56:20+02:00,18.417,13.44,8.951,19.212
2020-04-11 01:59:20+02:00,17.908,14.409,9.088,18.212
2020-04-11 13:20:58+02:00,18.412,15.765,9.965,18.424
2020-04-11 13:31:02+02:00,19.7,13.099,8.972,11.759
2020-04-11 13:34:03+02:00,17.807,12.323,9.096,9.759
2020-04-11 13:37:03+02:00,17.987,15.462,10.466,9.759
2020-04-11 13:40:03+02:00,19.745,15.888,9.091,9.359
2020-04-11 13:43:04+02:00,16.455,14.662,8.025,10.459
2020-04-11 13:46:04+02:00,16.064,14.938,9.925,13.259
2020-04-11 13:49:05+02:00,19.993,15.163,9.951,10.459
2020-04-11 13:52:05+02:00,19.37,15.62,10.92,9.659
2020-04-11 13:55:05+02:00,18.658,12.734,10.34,11.459
2020-04-11 13:58:05+02:00,19.142,13.758,8.165,10.659
2020-04-11 14:01:05+02:00,19.085,14.145,11.823,11.659
2020-04-11 14:04:06+02:00,17.247,14.391,9.124,12.059
2020-04-11 14:07:07+02:00,17.197,15.2,10.34,12.959
2020-04-11 14:10:07+02:00,17.184,14.848,9.749,12.559
