Date and Time,input_2
2020-04-12 22:53:04+02:00,8.96
2020-04-12 22:56:04+02:00,11.333
2020-04-12 22:59:04+02:00,9.333
2020-04-12 23:02:04+02:00,10.499
2020-04-12 23:05:05+02:00,11.486
2020-04-12 23:08:05+02:00,11.862
2020-04-12 23:11:05+02:00,11.919
2020-04-12 23:14:05+02:00,9.188
2020-04-12 23:17:05+02:00,8.884
2020-04-12 23:20:06+02:00,8.313
2020-04-12 23:23:06+02:00,11.209
2020-04-12 23:26:06+02:00,10.429
2020-04-12 23:29:06+02:00,11.626
2020-04-12 23:32:06+02:00,9.756
2020-04-12 23:35:07+02:00,8.054
2020-04-12 23:38:07+02:00,10.723
2020-04-12 23:41:07+02:00,11.562
2020-04-12 23:44:07+02:00,9.532
2020-04-12 23:47:07+02:00,11.179
2020-04-12 23:50:09+02:00,8.115
2020-04-12 23:53:09+02:00,10.854
2020-04-12 23:56:09+02:00,11.415
2020-04-12 23:59:09+02:00,11.371
2020-04-13 00:02:09+02:00,11.109
2020-04-13 00:05:10+02:00,8.471
2020-04-13 00:08:10+02:00,8.936
2020-04-13 00:11:10+02:00,10.685
2020-04-13 00:14:55+02:00,11.981
2020-04-13 00:17:56+02:00,10.558
2020-04-13 00:20:56+02:00,11.205
2020-04-13 00:23:56+02:00,11.023
2020-04-13 00:26:56+02:00,9.766
2020-04-13 00:29:56+02:00,9.079
2020-04-13 00:32:57+02:00,9.045
2020-04-13 00:35:57+02:00,9.288
2020-04-13 00:38:57+02:00,10.717
2020-04-13 00:41:57+02:00,9.3
2020-04-13 00:44:57+02:00,11.369
2020-04-13 00:47:58+02:00,10.771
2020-04-13 00:50:58+02:00,9.384
2020-04-13 00:53:58+02:00,8.31
2020-04-13 00:56:59+02:00,9.374
2020-04-13 01:00:00+02:00,10.577
2020-04-13 01:03:00+02:00,10.299
2020-04-13 01:06:00+02:00,10.88
2020-04-13 01:09:01+02:00,10.072
2020-04-13 01:12:01+02:00,10.933
2020-04-13 01:15:02+02:00,8.017
2020-04-13 01:18:02+02:00,8.748
2020-04-13 01:21:02+02:00,10.516
2020-04-13 01:24:02+02:00,9.199
2020-04-13 01:27:02+02:00,8.643
2020-04-13 01:30:03+02:00,10.638
2020-04-13 01:33:03+02:00,9.182
2020-04-13 01:36:03+02:00,8.11
2020-04-13 01:39:03+02:00,9.931
2020-04-13 01:42:03+02:00,10.434
2020-04-13 01:45:04+02:00,10.184
2020-04-13 01:48:04+02:00,8.559
2020-04-13 01:51:04+02:00,11.62
2020-04-13 01:54:04+02:00,9.462
2020-04-13 01:57:04+02:00,8.855
2020-04-13 02:02:59+02:00,10.498
2020-04-13 02:05:59+02:00,9.681
2020-04-13 02:08:59+02:00,8.231
2020-04-13 02:12:00+02:00,10.734
2020-04-13 02:15:00+02:00,10.636
2020-04-13 02:18:00+02:00,8.509
2020-04-13 02:21:00+02:00,10.869
2020-04-13 02:24:00+02:00,11.942
2020-04-13 02:27:01+02:00,10.999
2020-04-13 02:30:01+02:00,9.667
2020-04-13 02:33:01+02:00,11.592
2020-04-13 02:36:01+02:00,9.181
2020-04-13 02:39:01+02:00,10.317
2020-04-13 02:42:02+02:00,9.156
2020-04-13 02:45:02+02:00,8.67
2020-04-13 02:48:02+02:00,10.785
2020-04-13 02:51:02+02:00,11.929
2020-04-13 02:54:02+02:00,9.003
2020-04-13 02:57:08+02:00,8.447
2020-04-13 03:00:12+02:00,8.737
2020-04-13 03:03:12+02:00,11.138
2020-04-13 03:06:12+02:00,11.608
2020-04-13 03:09:12+02:00,10.335
2020-04-13 03:12:13+02:00,10.331
2020-04-13 03:15:13+02:00,10.607
2020-04-13 03:18:13+02:00,8.452
2020-04-13 03:21:13+02:00,9.098
2020-04-13 03:24:14+02:00,10.378
2020-04-13 03:27:14+02:00,9.841
2020-04-13 03:30:14+02:00,9.722
2020-04-13 03:33:14+02:00,8.36
2020-04-13 03:36:14+02:00,9.326
2020-04-13 03:39:15+02:00,9.85
2020-04-13 03:42:15+02:00,10.898
2020-04-13 03:45:15+02:00,9.419
2020-04-13 03:48:15+02:00,8.125
2020-04-13 03:51:15+02:00,10.406
2020-04-13 03:54:16+02:00,10.614
2020-04-13 03:57:16+02:00,11.319
2020-04-13 04:00:16+02:00,9.753
2020-04-13 04:03:16+02:00,11.086
2020-04-13 04:06:16+02:00,10.847
2020-04-13 04:09:17+02:00,9.13
2020-04-13 04:12:17+02:00,9.817
2020-04-13 04:15:17+02:00,11.08
2020-04-13 04:18:17+02:00,10.632
2020-04-13 04:21:17+02:00,10.763
