Date and Time,input_2,in_4_calculated
2020-04-12 22:53:04+02:00,8.96,20.0
2020-04-12 22:56:04+02:00,11.333,20.0
2020-04-12 22:59:04+02:00,9.333,20.0
2020-04-12 23:02:04+02:00,10.499,20.0
2020-04-12 23:05:05+02:00,11.486,20.0
2020-04-12 23:08:05+02:00,11.862,20.0
2020-04-12 23:11:05+02:00,11.919,20.0
2020-04-12 23:14:05+02:00,9.188,20.0
2020-04-12 23:17:05+02:00,8.884,20.0
2020-04-12 23:20:06+02:00,8.313,20.0
2020-04-12 23:23:06+02:00,11.209,20.0
2020-04-12 23:26:06+02:00,10.429,20.0
2020-04-12 23:29:06+02:00,11.626,20.0
2020-04-12 23:32:06+02:00,9.756,20.0
2020-04-12 23:35:07+02:00,8.054,20.0
2020-04-12 23:38:07+02:00,10.723,20.0
2020-04-12 23:41:07+02:00,11.562,20.0
2020-04-12 23:44:07+02:00,9.532,20.0
2020-04-12 23:47:07+02:00,11.179,20.0
2020-04-12 23:50:09+02:00,8.115,20.0
2020-04-12 23:53:09+02:00,10.854,20.0
2020-04-12 23:56:09+02:00,11.415,20.0
2020-04-12 23:59:09+02:00,11.371,20.0
2020-04-13 00:02:09+02:00,11.109,20.0
2020-04-13 00:05:10+02:00,8.471,20.0
2020-04-13 00:08:10+02:00,8.936,20.0
2020-04-13 00:11:10+02:00,10.685,20.0
2020-04-13 00:14:55+02:00,11.981,20.0
2020-04-13 00:17:56+02:00,10.558,20.0
2020-04-13 00:20:56+02:00,11.205,24.0884
2020-04-13 00:23:56+02:00,11.023,24.5441
2020-04-13 00:26:56+02:00,9.766,24.4931
2020-04-13 00:29:56+02:00,9.079,24.1384
2020-04-13 00:32:57+02:00,9.045,24.1809
2020-04-13 00:35:57+02:00,9.288,23.9019
2020-04-13 00:38:57+02:00,10.717,23.8706
2020-04-13 00:41:57+02:00,9.3,24.8944
2020-04-13 00:44:57+02:00,11.369,24.2347
2020-04-13 00:47:58+02:00,10.771,24.0922
2020-04-13 00:50:58+02:00,9.384,23.92
2020-04-13 00:53:58+02:00,8.31,24.8222
2020-04-13 00:56:59+02:00,9.374,24.9819
2020-04-13 01:00:00+02:00,10.577,24.8241
2020-04-13 01:03:00+02:00,10.299,24.0494
2020-04-13 01:06:00+02:00,10.88,24.9231
2020-04-13 01:09:01+02:00,10.072,24.7609
2020-04-13 01:12:01+02:00,10.933,24.5222
2020-04-13 01:15:02+02:00,8.017,24.5138
2020-04-13 01:18:02+02:00,8.748,24.3647
2020-04-13 01:21:02+02:00,10.516,24.7162
2020-04-13 01:24:02+02:00,9.199,24.1887
2020-04-13 01:27:02+02:00,8.643,24.1453
2020-04-13 01:30:03+02:00,10.638,24.9244
2020-04-13 01:33:03+02:00,9.182,24.0847
2020-04-13 01:36:03+02:00,8.11,24.275
2020-04-13 01:39:03+02:00,9.931,23.9331
2020-04-13 01:42:03+02:00,10.434,24.5644
2020-04-13 01:45:04+02:00,10.184,24.0381
2020-04-13 01:48:04+02:00,8.559,24.9022
2020-04-13 01:51:04+02:00,11.62,23.9366
2020-04-13 01:54:04+02:00,9.462,24.9153
2020-04-13 01:57:04+02:00,8.855,24.4147
2020-04-13 02:02:59+02:00,10.498,23.9438
2020-04-13 02:05:59+02:00,9.681,23.8638
2020-04-13 02:08:59+02:00,8.231,24.7941
2020-04-13 02:12:00+02:00,10.734,24.8225
2020-04-13 02:15:00+02:00,10.636,24.2609
2020-04-13 02:18:00+02:00,8.509,23.7981
2020-04-13 02:21:00+02:00,10.869,24.1447
2020-04-13 02:24:00+02:00,11.942,24.6391
2020-04-13 02:27:01+02:00,10.999,23.8909
2020-04-13 02:30:01+02:00,9.667,23.9284
2020-04-13 02:33:01+02:00,11.592,24.7887
2020-04-13 02:36:01+02:00,9.181,24.8366
2020-04-13 02:39:01+02:00,10.317,23.8191
2020-04-13 02:42:02+02:00,9.156,24.9919
2020-04-13 02:45:02+02:00,8.67,23.9019
2020-04-13 02:48:02+02:00,10.785,24.1425
2020-04-13 02:51:02+02:00,11.929,24.0266
2020-04-13 02:54:02+02:00,9.003,24.5353
