Date and Time,input_4,input_3,input_2,input_1,in_1_calculated
2020-04-12 22:53:04+02:00,17.978,13.233,8.96,19.811,247.094
2020-04-12 22:56:04+02:00,16.018,12.674,11.333,19.611,244.019
2020-04-12 22:59:04+02:00,18.212,12.416,9.333,19.411,240.944
2020-04-12 23:02:04+02:00,17.757,12.294,10.499,19.611,244.019
2020-04-12 23:05:05+02:00,18.986,12.201,11.486,19.411,240.944
2020-04-12 23:08:05+02:00,18.987,12.026,11.862,19.011,234.794
2020-04-12 23:11:05+02:00,18.662,12.618,11.919,18.411,225.569
2020-04-12 23:14:05+02:00,16.335,15.79,9.188,18.411,225.569
2020-04-12 23:17:05+02:00,17.056,12.204,8.884,19.011,234.794
2020-04-12 23:20:06+02:00,16.676,13.164,8.313,19.811,247.094
2020-04-12 23:23:06+02:00,16.41,13.916,11.209,17.811,216.344
2020-04-12 23:26:06+02:00,18.071,14.762,10.429,18.811,231.719
2020-04-12 23:29:06+02:00,18.146,15.557,11.626,20.011,250.169
2020-04-12 23:32:06+02:00,17.053,13.905,9.756,19.211,237.869
2020-04-12 23:35:07+02:00,17.518,12.295,8.054,19.811,247.094
2020-04-12 23:38:07+02:00,16.47,14.396,10.723,19.611,244.019
2020-04-12 23:41:07+02:00,18.871,15.354,11.562,19.811,247.094
2020-04-12 23:44:07+02:00,17.678,12.951,9.532,19.011,234.794
2020-04-12 23:47:07+02:00,18.088,14.381,11.179,19.811,247.094
2020-04-12 23:50:09+02:00,16.905,15.512,8.115,17.911,217.882
2020-04-12 23:53:09+02:00,18.051,14.878,10.854,17.511,211.732
2020-04-12 23:56:09+02:00,18.105,12.571,11.415,18.111,220.957
2020-04-12 23:59:09+02:00,18.529,15.2,11.371,18.911,233.257
2020-04-13 00:02:09+02:00,16.418,14.222,11.109,15.911,187.132
2020-04-13 00:05:10+02:00,16.412,14.189,8.471,16.911,202.507
2020-04-13 00:08:10+02:00,17.186,12.118,8.936,17.111,205.582
2020-04-13 00:11:10+02:00,18.679,14.64,10.685,16.911,202.507
2020-04-13 00:14:55+02:00,16.79,14.846,11.981,8.82,78.1075
2020-04-13 00:17:56+02:00,19.284,12.826,10.558,7.62,59.6575
2020-04-13 00:20:56+02:00,17.083,14.669,11.205,7.02,50.4325
2020-04-13 00:23:56+02:00,18.541,13.542,11.023,8.02,65.8075
2020-04-13 00:26:56+02:00,18.378,14.451,9.766,5.82,31.9825
2020-04-13 00:29:56+02:00,17.243,15.291,9.079,6.62,44.2825
2020-04-13 00:32:57+02:00,17.379,13.248,9.045,7.82,62.7325
2020-04-13 00:35:57+02:00,16.486,14.27,9.288,6.62,44.2825
2020-04-13 00:38:57+02:00,16.386,13.917,10.717,7.02,50.4325
2020-04-13 00:41:57+02:00,19.662,12.538,9.3,7.42,56.5825
2020-04-13 00:44:57+02:00,17.551,14.769,11.369,7.02,50.4325
2020-04-13 00:47:58+02:00,17.095,15.013,10.771,4.62,13.5325
2020-04-13 00:50:58+02:00,16.544,14.695,9.384,6.62,44.2825
2020-04-13 00:53:58+02:00,19.431,15.096,8.31,4.62,13.5325
2020-04-13 00:56:59+02:00,19.942,13.999,9.374,5.32,24.295
2020-04-13 01:00:00+02:00,19.437,12.336,10.577,6.12,36.595
2020-04-13 01:03:00+02:00,16.958,15.624,10.299,5.92,33.52
2020-04-13 01:06:00+02:00,19.754,12.867,10.88,6.12,36.595
2020-04-13 01:09:01+02:00,19.235,14.447,10.072,6.82,47.3575
2020-04-13 01:12:01+02:00,18.471,14.035,10.933,7.02,50.4325
2020-04-13 01:15:02+02:00,18.444,12.456,8.017,9.02,81.1825
2020-04-13 01:18:02+02:00,17.967,13.348,8.748,7.22,53.5075
2020-04-13 01:21:02+02:00,19.092,13.101,10.516,7.82,62.7325
2020-04-13 01:24:02+02:00,17.404,13.976,9.199,5.02,19.6825
2020-04-13 01:27:02+02:00,17.265,12.242,8.643,6.02,35.0575
2020-04-13 01:30:03+02:00,19.758,15.405,10.638,7.02,50.4325
2020-04-13 01:33:03+02:00,17.071,13.098,9.182,7.62,59.6575
2020-04-13 01:36:03+02:00,17.68,12.993,8.11,6.02,35.0575
2020-04-13 01:39:03+02:00,16.586,13.564,9.931,4.02,4.3075
2020-04-13 01:42:03+02:00,18.606,12.753,10.434,5.22,22.7575
2020-04-13 01:45:04+02:00,16.922,12.762,10.184,6.02,35.0575
2020-04-13 01:48:04+02:00,19.687,14.145,8.559,5.42,25.8325
2020-04-13 01:51:04+02:00,16.597,14.614,11.62,6.42,41.2075
2020-04-13 01:54:04+02:00,19.729,14.465,9.462,5.82,31.9825
2020-04-13 01:57:04+02:00,18.127,14.952,8.855,5.42,25.8325
2020-04-13 02:02:59+02:00,16.62,13.794,10.498,4.82,16.6075
2020-04-13 02:05:59+02:00,16.364,15.604,9.681,5.22,22.7575
2020-04-13 02:08:59+02:00,19.341,14.527,8.231,5.02,19.6825
2020-04-13 02:12:00+02:00,19.432,12.247,10.734,4.62,13.5325
2020-04-13 02:15:00+02:00,17.635,12.833,10.636,4.42,10.4575
2020-04-13 02:18:00+02:00,16.154,15.222,8.509,5.42,25.8325
2020-04-13 02:21:00+02:00,17.263,13.971,10.869,5.82,31.9825
2020-04-13 02:24:00+02:00,18.845,15.552,11.942,7.02,50.4325
2020-04-13 02:27:01+02:00,16.451,15.543,10.999,7.62,59.6575
2020-04-13 02:30:01+02:00,16.571,13.178,9.667,9.02,81.1825
2020-04-13 02:33:01+02:00,19.324,14.92,11.592,8.82,78.1075
2020-04-13 02:36:01+02:00,19.477,15.301,9.181,8.42,71.9575
2020-04-13 02:39:01+02:00,16.221,15.46,10.317,8.82,78.1075
2020-04-13 02:42:02+02:00,19.974,13.546,9.156,8.02,65.8075
2020-04-13 02:45:02+02:00,16.486,12.695,8.67,10.62,105.783
2020-04-13 02:48:02+02:00,17.256,13.862,10.785,11.02,111.933
2020-04-13 02:51:02+02:00,16.885,13.637,11.929,10.02,96.5575
2020-04-13 02:54:02+02:00,18.513,15.28,9.003,7.42,56.5825
2020-04-13 02:57:08+02:00,18.594,14.029,8.447,9.72,91.945
2020-04-13 03:00:12+02:00,16.632,15.198,8.737,7.52,58.12
2020-04-13 03:03:12+02:00,17.495,13.8,11.138,6.72,45.82
2020-04-13 03:06:12+02:00,17.85,15.205,11.608,4.52,11.995
2020-04-13 03:09:12+02:00,17.134,15.31,10.335,5.12,21.22
2020-04-13 03:12:13+02:00,17.802,14.953,10.331,5.52,27.37
2020-04-13 03:15:13+02:00,18.633,12.442,10.607,4.92,18.145
2020-04-13 03:18:13+02:00,19.063,14.474,8.452,5.12,21.22
2020-04-13 03:21:13+02:00,19.885,15.376,9.098,6.92,48.895
2020-04-13 03:24:14+02:00,16.578,13.316,10.378,7.32,55.045
2020-04-13 03:27:14+02:00,17.281,15.709,9.841,5.92,33.52
2020-04-13 03:30:14+02:00,17.631,15.742,9.722,5.92,33.52
2020-04-13 03:33:14+02:00,17.841,15.806,8.36,8.32,70.42
2020-04-13 03:36:14+02:00,18.479,14.622,9.326,6.52,42.745
2020-04-13 03:39:15+02:00,19.577,15.754,9.85,6.72,45.82
2020-04-13 03:42:15+02:00,19.704,12.72,10.898,6.32,39.67
2020-04-13 03:45:15+02:00,18.569,12.702,9.419,4.52,11.995
2020-04-13 03:48:15+02:00,17.52,15.362,8.125,4.52,11.995
2020-04-13 03:51:15+02:00,19.228,14.095,10.406,5.12,21.22
2020-04-13 03:54:16+02:00,17.495,14.654,10.614,4.12,5.845
2020-04-13 03:57:16+02:00,18.026,13.812,11.319,4.92,18.145
2020-04-13 04:00:16+02:00,18.892,14.861,9.753,4.52,11.995
2020-04-13 04:03:16+02:00,16.322,15.74,11.086,5.12,21.22
2020-04-13 04:06:16+02:00,18.594,15.672,10.847,4.32,8.92
2020-04-13 04:09:17+02:00,18.777,12.54,9.13,5.12,21.22
2020-04-13 04:12:17+02:00,17.528,13.36,9.817,3.92,2.77
2020-04-13 04:15:17+02:00,16.925,13.188,11.08,6.52,42.745
2020-04-13 04:18:17+02:00,16.975,13.676,10.632,4.32,8.92
2020-04-13 04:21:17+02:00,17.177,15.383,10.763,4.32,8.92
2020-04-13 04:24:18+02:00,18.916,12.058,9.211,5.72,30.445
2020-04-13 04:27:18+02:00,18.138,14.584,10.929,5.92,33.52
2020-04-13 04:30:18+02:00,17.12,15.867,9.539,5.52,27.37
2020-04-13 04:33:18+02:00,17.695,12.493,11.007,4.72,15.07
2020-04-13 04:36:19+02:00,19.222,15.476,9.822,4.12,5.845
2020-04-13 04:39:19+02:00,19.3,13.445,8.121,4.72,15.07
2020-04-13 04:42:19+02:00,16.441,15.825,11.262,4.52,11.995
2020-04-13 04:45:19+02:00,17.359,13.64,8.134,9.12,82.72
2020-04-13 04:48:19+02:00,16.978,15.43,9.979,9.52,88.87
2020-04-13 04:51:20+02:00,18.344,12.643,10.84,12.92,141.145
2020-04-13 04:54:20+02:00,17.764,13.279,11.713,11.72,122.695
2020-04-13 04:57:20+02:00,19.43,14.173,10.303,11.32,116.545
2020-04-13 05:00:20+02:00,19.973,15.451,8.617,11.92,125.77
2020-04-13 05:03:21+02:00,16.748,12.671,8.57,11.82,124.232
2020-04-13 05:06:22+02:00,17.34,13.717,8.252,12.42,133.458
2020-04-13 05:09:22+02:00,16.839,12.115,8.015,12.02,127.308
2020-04-13 05:12:22+02:00,18.701,12.564,8.961,11.42,118.082
2020-04-13 05:15:22+02:00,18.358,14.628,11.73,9.22,84.2575
2020-04-13 05:18:22+02:00,16.062,13.803,8.881,10.62,105.783
2020-04-13 05:21:23+02:00,19.148,14.108,10.512,12.62,136.533
2020-04-13 05:24:23+02:00,17.227,13.902,8.87,13.22,145.758
2020-04-13 05:27:23+02:00,19.28,13.436,8.964,13.82,154.982
2020-04-13 05:30:23+02:00,17.664,12.144,11.186,13.42,148.833
2020-04-13 05:33:23+02:00,18.496,15.256,11.818,10.42,102.707
2020-04-13 05:36:24+02:00,19.861,14.295,9.922,9.42,87.3325
2020-04-13 05:39:24+02:00,18.413,12.008,11.73,9.02,81.1825
2020-04-13 05:42:24+02:00,17.214,13.51,11.183,8.42,71.9575
2020-04-13 05:45:24+02:00,18.158,13.682,11.141,9.62,90.4075
2020-04-13 05:48:24+02:00,19.391,13.751,10.136,6.62,44.2825
2020-04-13 05:51:25+02:00,16.883,12.45,10.34,5.42,25.8325
2020-04-13 05:54:25+02:00,16.988,12.555,10.357,6.82,47.3575
2020-04-13 05:57:25+02:00,19.018,12.509,8.374,8.62,75.0325
2020-04-13 06:00:25+02:00,17.618,15.459,11.018,9.82,93.4825
2020-04-13 06:03:26+02:00,17.131,15.76,9.873,9.62,90.4075
2020-04-13 06:06:26+02:00,16.875,12.213,8.097,8.62,75.0325
2020-04-13 06:09:26+02:00,16.333,13.667,10.618,6.62,44.2825
2020-04-13 06:12:26+02:00,16.679,13.546,9.072,7.82,62.7325
2020-04-13 06:15:26+02:00,17.572,15.303,8.712,9.22,84.2575
2020-04-13 06:18:27+02:00,19.16,15.278,11.429,8.82,78.1075
2020-04-13 06:21:27+02:00,19.43,12.202,11.178,8.62,75.0325
2020-04-13 06:24:27+02:00,18.264,14.539,10.518,9.42,87.3325
