Date and Time,input_8,input_2,in_4_calculated
2020-04-12 22:53:04+02:00,8.111,8.96,20.0
2020-04-12 22:56:04+02:00,7.355,11.333,20.0
2020-04-12 22:59:04+02:00,8.669,9.333,20.0
2020-04-12 23:02:04+02:00,7.757,10.499,20.0
2020-04-12 23:05:05+02:00,5.352,11.486,20.0
2020-04-12 23:08:05+02:00,6.184,11.862,20.0
2020-04-12 23:11:05+02:00,5.295,11.919,20.0
2020-04-12 23:14:05+02:00,8.679,9.188,20.0
2020-04-12 23:17:05+02:00,8.763,8.884,20.0
2020-04-12 23:20:06+02:00,7.286,8.313,20.0
2020-04-12 23:23:06+02:00,5.641,11.209,20.0
2020-04-12 23:26:06+02:00,7.004,10.429,20.0
2020-04-12 23:29:06+02:00,7.862,11.626,20.0
2020-04-12 23:32:06+02:00,5.851,9.756,20.0
2020-04-12 23:35:07+02:00,8.373,8.054,20.0
2020-04-12 23:38:07+02:00,6.916,10.723,20.0
2020-04-12 23:41:07+02:00,5.04,11.562,20.0
2020-04-12 23:44:07+02:00,5.311,9.532,20.0
2020-04-12 23:47:07+02:00,6.312,11.179,20.0
2020-04-12 23:50:09+02:00,5.587,8.115,20.0
2020-04-12 23:53:09+02:00,6.381,10.854,20.0
2020-04-12 23:56:09+02:00,7.184,11.415,20.0
2020-04-12 23:59:09+02:00,7.985,11.371,20.0
2020-04-13 00:02:09+02:00,6.587,11.109,20.0
2020-04-13 00:05:10+02:00,7.742,8.471,20.0
2020-04-13 00:08:10+02:00,7.661,8.936,20.0
2020-04-13 00:11:10+02:00,5.454,10.685,20.0
2020-04-13 00:14:55+02:00,5.302,11.981,20.0
2020-04-13 00:17:56+02:00,7.409,10.558,20.0
2020-04-13 00:20:56+02:00,5.11,11.205,24.0884
2020-04-13 00:23:56+02:00,5.531,11.023,24.5441
2020-04-13 00:26:56+02:00,5.674,9.766,24.4931
2020-04-13 00:29:56+02:00,5.366,9.079,24.1384
2020-04-13 00:32:57+02:00,5.332,9.045,24.1809
2020-04-13 00:35:57+02:00,6.771,9.288,23.9019
2020-04-13 00:38:57+02:00,6.06,10.717,23.8706
2020-04-13 00:41:57+02:00,6.104,9.3,24.8944
2020-04-13 00:44:57+02:00,6.635,11.369,24.2347
2020-04-13 00:47:58+02:00,5.176,10.771,24.0922
2020-04-13 00:50:58+02:00,7.997,9.384,23.92
2020-04-13 00:53:58+02:00,7.785,8.31,24.8222
2020-04-13 00:56:59+02:00,5.32,9.374,24.9819
2020-04-13 01:00:00+02:00,6.607,10.577,24.8241
2020-04-13 01:03:00+02:00,6.863,10.299,24.0494
2020-04-13 01:06:00+02:00,8.113,10.88,24.9231
2020-04-13 01:09:01+02:00,7.267,10.072,24.7609
2020-04-13 01:12:01+02:00,6.172,10.933,24.5222
