Date and Time,input_2,input_1,in_1_calculated
2020-04-11 14:01:05+02:00,11.823,11.659,247.094
2020-04-11 14:04:06+02:00,9.124,12.059,244.019
2020-04-11 14:07:07+02:00,10.34,12.959,240.944
2020-04-11 14:10:07+02:00,9.749,12.559,244.019
2020-04-11 14:13:07+02:00,9.668,14.759,240.944
2020-04-11 14:16:07+02:00,9.456,13.959,234.794
2020-04-11 14:19:08+02:00,8.574,14.959,225.569
2020-04-11 14:22:08+02:00,10.786,15.959,225.569
2020-04-11 14:25:08+02:00,10.382,13.959,234.794
2020-04-11 14:28:08+02:00,9.811,13.359,247.094
2020-04-11 14:31:10+02:00,8.435,11.359,216.344
2020-04-11 14:34:11+02:00,8.625,12.959,231.719
2020-04-11 14:37:11+02:00,11.298,13.759,250.169
2020-04-11 14:40:11+02:00,10.539,14.359,237.869
2020-04-11 14:43:11+02:00,8.514,15.759,247.094
2020-04-11 14:46:11+02:00,11.113,14.159,244.019
2020-04-11 14:49:12+02:00,8.125,15.959,247.094
2020-04-11 14:52:12+02:00,9.667,16.359,234.794
2020-04-11 14:55:12+02:00,11.275,13.959,247.094
2020-04-11 14:58:12+02:00,9.065,15.359,217.882
2020-04-11 15:01:12+02:00,8.478,16.959,211.732
2020-04-11 15:04:14+02:00,11.52,16.459,220.957
2020-04-11 15:07:14+02:00,8.265,16.259,233.257
2020-04-11 15:10:14+02:00,11.041,18.659,187.132
2020-04-11 15:13:14+02:00,9.784,19.059,202.507
2020-04-11 15:16:15+02:00,9.939,19.959,205.582
2020-04-11 15:19:16+02:00,11.601,19.559,202.507
2020-04-11 15:22:16+02:00,9.41,16.959,78.1075
2020-04-11 15:25:16+02:00,10.846,15.959,59.6575
2020-04-11 15:28:16+02:00,11.913,17.159,50.4325
2020-04-11 15:31:16+02:00,11.971,15.959,65.8075
2020-04-11 15:34:17+02:00,8.175,14.559,31.9825
2020-04-11 15:37:17+02:00,8.386,16.159,44.2825
2020-04-11 15:40:17+02:00,10.013,16.559,62.7325
2020-04-11 15:43:17+02:00,11.04,17.559,44.2825
2020-04-11 15:46:17+02:00,11.333,12.759,50.4325
2020-04-11 15:49:18+02:00,9.915,14.359,56.5825
2020-04-11 15:52:18+02:00,9.953,12.959,50.4325
2020-04-11 15:55:18+02:00,10.747,13.759,13.5325
2020-04-11 15:58:18+02:00,10.59,14.559,44.2825
2020-04-11 16:01:19+02:00,10.255,14.359,13.5325
2020-04-11 16:04:19+02:00,9.734,12.959,24.295
2020-04-11 16:07:19+02:00,11.064,14.759,36.595
2020-04-11 16:10:19+02:00,9.397,12.759,33.52
2020-04-11 16:13:19+02:00,8.436,10.159,36.595
2020-04-11 16:16:20+02:00,10.674,7.159,47.3575
2020-04-11 16:19:20+02:00,11.2,7.159,50.4325
2020-04-11 16:22:20+02:00,9.609,5.759,81.1825
2020-04-11 16:25:20+02:00,11.395,8.359,53.5075
2020-04-11 16:28:20+02:00,9.023,9.759,62.7325
2020-04-11 16:31:21+02:00,10.015,11.359,19.6825
2020-04-11 16:34:21+02:00,9.393,12.359,35.0575
2020-04-11 16:37:21+02:00,9.279,14.959,50.4325
2020-04-11 16:40:22+02:00,8.528,15.459,59.6575
2020-04-11 16:43:22+02:00,9.911,15.059,35.0575
2020-04-11 16:46:23+02:00,8.731,14.459,4.3075
2020-04-11 16:49:23+02:00,8.23,14.259,22.7575
2020-04-11 16:52:23+02:00,11.508,15.459,35.0575
2020-04-11 16:55:23+02:00,9.054,16.859,25.8325
2020-04-11 16:58:23+02:00,9.931,17.259,41.2075
2020-04-11 17:01:24+02:00,9.912,17.059,31.9825
2020-04-11 17:04:24+02:00,8.089,17.459,25.8325
2020-04-11 17:07:24+02:00,9.412,15.859,16.6075
2020-04-11 17:10:24+02:00,10.939,15.659,22.7575
2020-04-11 17:13:24+02:00,10.604,14.659,19.6825
2020-04-11 17:16:25+02:00,8.581,15.459,13.5325
2020-04-11 17:19:25+02:00,9.119,17.259,10.4575
2020-04-11 17:22:25+02:00,11.708,19.059,25.8325
2020-04-11 17:25:25+02:00,9.816,17.259,31.9825
2020-04-11 17:28:25+02:00,9.864,18.259,50.4325
2020-04-11 17:31:26+02:00,11.888,17.459,59.6575
2020-04-11 17:34:26+02:00,10.974,18.259,81.1825
2020-04-11 18:00:15+02:00,8.63,17.982,78.1075
2020-04-11 18:03:15+02:00,11.935,18.182,71.9575
2020-04-11 18:06:18+02:00,8.692,7.779,78.1075
2020-04-11 18:09:18+02:00,11.749,8.179,65.8075
2020-04-11 18:12:18+02:00,10.379,7.179,105.783
2020-04-11 18:15:19+02:00,11.328,6.379,111.933
2020-04-11 18:18:19+02:00,11.218,5.979,96.5575
2020-04-11 18:21:19+02:00,8.052,5.579,56.5825
2020-04-11 18:24:19+02:00,9.547,4.779,91.945
2020-04-11 18:27:23+02:00,10.955,15.284,58.12
2020-04-11 18:30:23+02:00,8.004,13.284,45.82
2020-04-11 18:33:23+02:00,11.714,13.084,11.995
2020-04-11 18:36:24+02:00,9.677,15.884,21.22
2020-04-11 18:39:24+02:00,8.264,15.684,27.37
2020-04-11 18:42:24+02:00,8.544,14.084,18.145
2020-04-11 18:45:24+02:00,8.112,13.284,21.22
2020-04-11 18:48:24+02:00,10.603,13.884,48.895
2020-04-11 18:51:25+02:00,8.191,13.684,55.045
2020-04-11 18:54:25+02:00,8.351,13.884,33.52
2020-04-11 18:57:25+02:00,8.178,12.684,33.52
2020-04-11 19:00:25+02:00,11.76,11.284,70.42
2020-04-11 19:03:26+02:00,10.8,10.484,42.745
2020-04-11 19:06:26+02:00,11.548,8.084,45.82
2020-04-11 19:09:27+02:00,11.176,7.384,39.67
2020-04-11 19:12:27+02:00,8.851,7.984,11.995
2020-04-11 19:15:27+02:00,9.445,8.184,11.995
2020-04-11 19:18:28+02:00,10.423,8.384,21.22
2020-04-11 19:21:28+02:00,10.352,10.584,5.845
2020-04-11 19:24:29+02:00,11.947,13.484,18.145
2020-04-11 19:27:29+02:00,8.9,12.284,11.995
2020-04-11 19:30:29+02:00,8.073,13.484,21.22
2020-04-11 19:33:30+02:00,8.45,14.284,8.92
2020-04-11 19:36:31+02:00,10.187,12.984,21.22
2020-04-11 19:39:31+02:00,9.384,12.584,2.77
2020-04-11 19:42:31+02:00,10.982,10.784,42.745
2020-04-11 19:45:31+02:00,11.925,9.784,8.92
2020-04-11 19:48:32+02:00,9.537,9.984,8.92
2020-04-11 19:51:32+02:00,8.499,12.184,30.445
2020-04-11 19:54:32+02:00,9.862,12.984,33.52
2020-04-11 19:57:32+02:00,8.106,15.584,27.37
2020-04-11 20:00:32+02:00,11.956,14.784,15.07
2020-04-11 20:03:34+02:00,10.99,15.484,5.845
2020-04-11 20:06:34+02:00,11.213,16.084,15.07
2020-04-11 20:09:34+02:00,10.853,15.484,11.995
2020-04-11 20:12:34+02:00,8.184,16.684,82.72
2020-04-11 20:15:34+02:00,10.845,16.484,88.87
2020-04-11 20:18:36+02:00,11.486,16.784,141.145
2020-04-11 20:21:36+02:00,8.224,18.184,122.695
2020-04-11 20:24:36+02:00,9.674,18.384,116.545
2020-04-11 20:27:36+02:00,11.219,19.784,125.77
2020-04-11 20:30:36+02:00,10.965,17.784,124.232
2020-04-11 20:33:37+02:00,8.662,19.184,133.458
2020-04-11 20:36:39+02:00,9.018,19.384,127.308
2020-04-11 20:39:39+02:00,11.56,18.384,118.082
2020-04-11 20:42:39+02:00,8.836,19.784,84.2575
2020-04-11 20:45:39+02:00,8.875,17.584,105.783
2020-04-11 20:48:40+02:00,9.898,19.384,136.533
2020-04-11 20:51:40+02:00,8.7,18.984,145.758
2020-04-11 20:54:40+02:00,10.298,19.384,154.982
2020-04-11 20:57:40+02:00,11.977,16.984,148.833
2020-04-11 21:00:40+02:00,10.414,17.584,102.707
2020-04-11 21:03:41+02:00,9.99,16.984,87.3325
2020-04-11 21:06:41+02:00,8.244,17.584,81.1825
2020-04-11 21:09:41+02:00,11.71,16.984,71.9575
2020-04-11 21:12:41+02:00,8.448,16.584,90.4075
2020-04-11 21:15:41+02:00,9.2,16.384,44.2825
2020-04-11 21:18:42+02:00,10.886,18.584,25.8325
2020-04-11 21:21:42+02:00,11.82,17.784,47.3575
2020-04-11 21:24:42+02:00,11.21,18.584,75.0325
2020-04-11 21:27:42+02:00,8.065,18.984,93.4825
2020-04-11 21:30:43+02:00,11.774,18.984,90.4075
2020-04-11 21:33:43+02:00,9.951,16.384,75.0325
2020-04-11 21:36:43+02:00,9.844,17.584,44.2825
2020-04-11 21:39:43+02:00,8.636,16.584,62.7325
2020-04-11 21:42:43+02:00,11.785,14.584,84.2575
2020-04-11 21:45:44+02:00,11.851,13.384,78.1075
2020-04-11 21:48:44+02:00,11.595,13.384,75.0325
2020-04-11 22:08:38+02:00,9.245,12.908,87.3325
2020-04-11 22:11:42+02:00,11.432,8.076,71.9575
2020-04-11 23:02:04+02:00,10.745,5.887,71.9575
2020-04-11 23:05:04+02:00,9.776,4.487,35.0575
2020-04-11 23:08:06+02:00,10.751,6.187,39.67
2020-04-11 23:11:06+02:00,9.891,7.787,30.445
2020-04-11 23:14:06+02:00,8.699,8.987,33.52
2020-04-11 23:17:06+02:00,10.917,8.387,36.595
2020-04-11 23:20:06+02:00,11.732,10.787,27.37
2020-04-11 23:23:07+02:00,10.539,10.387,21.22
2020-04-11 23:26:07+02:00,11.544,9.987,48.895
2020-04-11 23:29:07+02:00,11.969,9.187,51.97
2020-04-11 23:34:47+02:00,11.556,18.757,48.895
2020-04-11 23:37:53+02:00,9.208,0.0,8.92
2020-04-11 23:40:53+02:00,8.438,0.0,2.77
2020-04-11 23:45:42+02:00,9.52,-1.0,27.37
2020-04-11 23:57:53+02:00,10.422,-100.0,24.295
2020-04-12 00:00:54+02:00,9.309,-100.0,21.22
2020-04-12 00:03:54+02:00,8.517,-100.0,45.82
2020-04-12 00:06:55+02:00,9.042,-100.0,18.145
2020-04-12 00:09:55+02:00,10.375,-100.0,5.845
2020-04-12 00:12:55+02:00,10.212,-100.0,67.345
2020-04-12 00:15:55+02:00,10.61,-100.0,11.995
2020-04-12 00:18:55+02:00,8.615,-100.0,5.845
2020-04-12 00:21:56+02:00,10.646,-100.0,21.22
2020-04-12 00:32:02+02:00,8.305,-100.0,61.195
2020-04-12 00:37:43+02:00,9.112,7.49,73.495
2020-04-12 00:40:43+02:00,11.483,7.29,61.195
2020-04-12 00:43:58+02:00,10.288,9.1,51.97
2020-04-12 00:46:58+02:00,9.721,9.7,55.045
2020-04-12 00:50:18+02:00,8.847,8.7,85.795
2020-04-12 00:53:19+02:00,8.131,9.1,113.47
2020-04-12 00:56:19+02:00,11.754,9.1,98.095
2020-04-12 00:59:19+02:00,10.927,9.5,98.095
2020-04-12 01:02:19+02:00,9.493,9.1,128.845
2020-04-12 01:05:29+02:00,10.091,9.7,110.395
2020-04-12 01:08:30+02:00,10.309,7.3,156.52
2020-04-12 01:11:30+02:00,10.038,9.9,125.77
2020-04-12 01:14:30+02:00,11.318,9.9,122.695
2020-04-12 01:17:31+02:00,11.642,9.4,122.695
2020-04-12 01:20:31+02:00,9.123,9.6,91.945
2020-04-12 01:23:32+02:00,9.099,10.2,104.245
2020-04-12 01:26:32+02:00,10.288,9.4,48.895
2020-04-12 01:29:32+02:00,9.727,8.6,42.745
2020-04-12 22:53:04+02:00,8.96,19.811,39.67
2020-04-12 22:56:04+02:00,11.333,19.611,36.595
2020-04-12 22:59:04+02:00,9.333,19.411,45.82
2020-04-12 23:02:04+02:00,10.499,19.611,70.42
2020-04-12 23:05:05+02:00,11.486,19.411,67.345
2020-04-12 23:08:05+02:00,11.862,19.011,82.72
2020-04-12 23:11:05+02:00,11.919,18.411,76.57
2020-04-12 23:14:05+02:00,9.188,18.411,88.87
2020-04-12 23:17:05+02:00,8.884,19.011,88.87
2020-04-12 23:20:06+02:00,8.313,19.811,79.645
2020-04-12 23:23:06+02:00,11.209,17.811,96.5575
2020-04-12 23:26:06+02:00,10.429,18.811,111.933
2020-04-12 23:29:06+02:00,11.626,20.011,90.4075
2020-04-12 23:32:06+02:00,9.756,19.211,81.1825
2020-04-12 23:35:07+02:00,8.054,19.811,99.6325
2020-04-12 23:38:07+02:00,10.723,19.611,124.232
2020-04-12 23:41:07+02:00,11.562,19.811,124.232
2020-04-12 23:44:07+02:00,9.532,19.011,105.783
2020-04-12 23:47:07+02:00,11.179,19.811,68.8825
2020-04-12 23:50:09+02:00,8.115,17.911,78.1075
2020-04-12 23:53:09+02:00,10.854,17.511,96.5575
2020-04-12 23:56:09+02:00,11.415,18.111,87.3325
2020-04-12 23:59:09+02:00,11.371,18.911,90.4075
2020-04-13 00:02:09+02:00,11.109,15.911,96.5575
2020-04-13 00:05:10+02:00,8.471,16.911,115.007
2020-04-13 00:08:10+02:00,8.936,17.111,133.458
2020-04-13 00:11:10+02:00,10.685,16.911,121.158
2020-04-13 00:14:55+02:00,11.981,8.82,115.007
2020-04-13 00:17:56+02:00,10.558,7.62,111.933
2020-04-13 00:20:56+02:00,11.205,7.02,142.682
2020-04-13 00:23:56+02:00,11.023,8.02,130.383
2020-04-13 00:26:56+02:00,9.766,5.82,40.4849
2020-04-13 00:29:56+02:00,9.079,6.62,
2020-04-13 00:32:57+02:00,9.045,7.82,
2020-04-13 00:35:57+02:00,9.288,6.62,
2020-04-13 00:38:57+02:00,10.717,7.02,
2020-04-13 00:41:57+02:00,9.3,7.42,
2020-04-13 00:44:57+02:00,11.369,7.02,
2020-04-13 00:47:58+02:00,10.771,4.62,
2020-04-13 00:50:58+02:00,9.384,6.62,
2020-04-13 00:53:58+02:00,8.31,4.62,
2020-04-13 00:56:59+02:00,9.374,5.32,
2020-04-13 01:00:00+02:00,10.577,6.12,
2020-04-13 01:03:00+02:00,10.299,5.92,
2020-04-13 01:06:00+02:00,10.88,6.12,
2020-04-13 01:09:01+02:00,10.072,6.82,
2020-04-13 01:12:01+02:00,10.933,7.02,
2020-04-13 01:15:02+02:00,8.017,9.02,
2020-04-13 01:18:02+02:00,8.748,7.22,
2020-04-13 01:21:02+02:00,10.516,7.82,
2020-04-13 01:24:02+02:00,9.199,5.02,
2020-04-13 01:27:02+02:00,8.643,6.02,
2020-04-13 01:30:03+02:00,10.638,7.02,
2020-04-13 01:33:03+02:00,9.182,7.62,
2020-04-13 01:36:03+02:00,8.11,6.02,
2020-04-13 01:39:03+02:00,9.931,4.02,
2020-04-13 01:42:03+02:00,10.434,5.22,
2020-04-13 01:45:04+02:00,10.184,6.02,
2020-04-13 01:48:04+02:00,8.559,5.42,
2020-04-13 01:51:04+02:00,11.62,6.42,
2020-04-13 01:54:04+02:00,9.462,5.82,
2020-04-13 01:57:04+02:00,8.855,5.42,
2020-04-13 02:02:59+02:00,10.498,4.82,
2020-04-13 02:05:59+02:00,9.681,5.22,
2020-04-13 02:08:59+02:00,8.231,5.02,
2020-04-13 02:12:00+02:00,10.734,4.62,
2020-04-13 02:15:00+02:00,10.636,4.42,
2020-04-13 02:18:00+02:00,8.509,5.42,
2020-04-13 02:21:00+02:00,10.869,5.82,
2020-04-13 02:24:00+02:00,11.942,7.02,
2020-04-13 02:27:01+02:00,10.999,7.62,
2020-04-13 02:30:01+02:00,9.667,9.02,
2020-04-13 02:33:01+02:00,11.592,8.82,
2020-04-13 02:36:01+02:00,9.181,8.42,
2020-04-13 02:39:01+02:00,10.317,8.82,
2020-04-13 02:42:02+02:00,9.156,8.02,
