Date and Time,input_4,input_3,input_2,input_1,in_4_calculated,in_3_calculated,in_2_calculated,in_1_calculated
2020-04-12 22:51:04+02:00,19.466,13.088,10.533,18.811,20.0,20.0,20.0,231.719
2020-04-12 22:52:04+02:00,19.331,14.763,10.007,18.811,20.0,20.0,20.0,231.719
2020-04-12 22:53:04+02:00,17.978,13.233,8.96,19.811,20.0,20.0,20.0,247.094
2020-04-12 22:54:04+02:00,16.813,15.879,9.619,20.011,20.0,20.0,20.0,250.169
2020-04-12 22:55:04+02:00,17.419,15.553,11.543,19.811,20.0,20.0,20.0,247.094
2020-04-12 22:56:04+02:00,16.018,12.674,11.333,19.611,20.0,20.0,20.0,244.019
2020-04-12 22:57:04+02:00,17.908,15.801,11.947,19.611,20.0,31.801,27.947,244.019
2020-04-12 22:58:04+02:00,16.506,14.311,10.681,20.011,20.0,30.311,26.681,250.169
2020-04-12 22:59:04+02:00,18.212,12.416,9.333,19.411,20.0,28.416,25.333,240.944
2020-04-12 23:00:04+02:00,16.619,14.787,9.505,18.811,20.0,30.787,25.505,231.719
2020-04-12 23:01:04+02:00,18.292,12.928,10.902,20.011,20.0,28.928,26.902,250.169
2020-04-12 23:02:04+02:00,17.757,12.294,10.499,19.611,20.0,28.294,26.499,244.019
2020-04-12 23:03:04+02:00,19.225,15.687,9.824,19.411,20.0,31.687,25.824,240.944
2020-04-12 23:04:04+02:00,18.035,12.16,9.541,19.811,20.0,28.16,25.541,247.094
2020-04-12 23:05:05+02:00,18.986,12.201,11.486,19.411,20.0,28.201,27.486,240.944
2020-04-12 23:06:05+02:00,19.833,12.885,8.763,19.611,20.0,28.885,24.763,244.019
2020-04-12 23:07:05+02:00,18.182,12.16,8.216,19.811,20.0,28.16,24.216,247.094
2020-04-12 23:08:05+02:00,18.987,12.026,11.862,19.011,20.0,28.026,27.862,234.794
2020-04-12 23:09:05+02:00,17.667,14.248,9.581,19.211,20.0,30.248,25.581,237.869
2020-04-12 23:10:05+02:00,17.139,12.85,8.567,18.011,20.0,28.85,24.567,219.419
2020-04-12 23:11:05+02:00,18.662,12.618,11.919,18.411,20.0,28.618,27.919,225.569
2020-04-12 23:12:05+02:00,19.326,14.252,10.536,19.211,20.0,30.252,26.536,237.869
2020-04-12 23:13:05+02:00,18.209,13.261,11.258,19.611,20.0,29.261,27.258,244.019
2020-04-12 23:14:05+02:00,16.335,15.79,9.188,18.411,20.0,31.79,25.188,225.569
2020-04-12 23:15:05+02:00,19.764,12.816,10.295,17.411,20.0,28.816,26.295,210.194
2020-04-12 23:16:05+02:00,19.731,13.654,11.982,17.811,20.0,29.654,27.982,216.344
2020-04-12 23:17:05+02:00,17.056,12.204,8.884,19.011,20.0,28.204,24.884,234.794
2020-04-12 23:18:05+02:00,17.718,15.136,10.283,19.611,20.0,31.136,26.283,244.019
2020-04-12 23:19:06+02:00,19.88,15.253,11.425,19.811,20.0,31.253,27.425,247.094
